46,0.0015,100,1.1239,71.293,71.916
46,0.0015,200,1.0715,73.44,73.419
46,0.0015,300,1.0101,75.63,74.903
46,0.0015,400,0.95829,77.618,76.201
46,0.0015,500,0.91311,79.247,77.314
46,0.0015,600,0.89593,79.662,78.26
46,0.0015,700,0.87466,80.101,78.353
46,0.0015,800,0.84056,81.199,78.891
46,0.0015,900,0.82378,81.596,79.336
46,0.0015,1000,0.80459,82.181,79.039
46,0.0015,1100,0.79327,82.499,79.317
46,0.0015,1200,0.78401,82.676,79.076
46,0.0015,1300,0.77656,82.889,79.169
46,0.0015,1400,0.75213,83.53,79.614
46,0.0015,1500,0.74864,83.682,79.725
46,0.0015,1600,0.7445,83.859,79.688
46,0.0015,1700,0.74015,83.993,79.744
46,0.0015,1800,0.73778,84.018,79.707
46,0.0015,1900,0.72729,84.402,79.8
46,0.0015,2000,0.71681,84.615,79.855
46,0.0015,2100,0.71219,84.75,79.744
46,0.0015,2200,0.70847,84.853,79.577
46,0.0015,2300,0.70052,85.018,79.8
46,0.0015,2400,0.69905,85.055,79.781
46,0.0015,2500,0.68531,85.476,80.004
46,0.0015,2600,0.68199,85.549,79.874
46,0.0015,2700,0.67994,85.61,79.744
46,0.0015,2800,0.67894,85.549,79.67
46,0.0015,2900,0.66547,86.104,79.725
46,0.0015,3000,0.66321,86.043,79.596
46,0.0015,3100,0.66247,86.025,79.614
46,0.0015,3200,0.6595,86.195,79.577
46,0.0015,3300,0.65839,86.177,79.577
46,0.0015,3400,0.65789,86.177,79.614
46,0.0015,3500,0.65491,86.415,79.8
46,0.0015,3600,0.65282,86.445,79.837
46,0.0015,3700,0.65125,86.464,79.707
46,0.0015,3800,0.65007,86.525,79.855
46,0.0015,3900,0.64165,86.708,79.577
46,0.0015,4000,0.64023,86.799,79.447
46,0.0015,4100,0.63818,86.885,79.577
46,0.0015,4200,0.63639,86.927,79.596
46,0.0015,4300,0.63592,86.933,79.596
46,0.0015,4400,0.6352,86.946,79.633
46,0.0015,4500,0.63455,86.988,79.614
46,0.0015,4600,0.63018,87.007,79.707
46,0.0015,4700,0.62896,87.104,79.763
46,0.0015,4800,0.62685,87.092,79.818
46,0.0015,4900,0.62561,87.123,79.837
46,0.0015,5000,0.62493,87.116,79.781
46,0.0015,5100,0.62473,87.135,79.781
46,0.0015,5200,0.6243,87.098,79.8
46,0.0015,5300,0.6239,87.11,79.763
46,0.0015,5400,0.6236,87.055,79.781
46,0.0015,5500,0.62221,87.123,79.911
46,0.0015,5600,0.61948,87.171,80.189
46,0.0015,5700,0.61837,87.196,80.022
46,0.0015,5800,0.61797,87.22,80.041
46,0.0015,5900,0.61748,87.184,80.059
46,0.0015,6000,0.6124,87.238,80.226
